Lào Cai,t,10,,
Điện Biên,t,11,,
Lai Châu,t,12,,
Sơn La,t,14,,
Yên Bái,t,15,,
Hoà Bình,t,17,,
Thái Nguyên,t,19,,
Lạng Sơn,t,20,,
Quảng Ninh,t,22,,
Bắc Giang,t,24,,
Phú Thọ,t,25,,
Vĩnh Phúc,t,26,,
Bắc Ninh,t,27,,
Hải Dương,t,30,,
Hải Phòng,tp,31,,
Hưng Yên,t,33,,
Thái Bình,t,34,,
Hà Nam,t,35,,
Nam Định,t,36,,
Ninh Bình,t,37,,
Thanh Hóa,t,38,,
Nghệ An,t,40,,
Hà Tĩnh,t,42,,
Quảng Bình,t,44,,
Quảng Trị,t,45,,
Thừa Thiên Huế,t,46,,
Đà Nẵng,tp,48,,
Quảng Nam,t,49,,
Quảng Ngãi,t,51,,
Bình Định,t,52,,
Phú Yên,t,54,,
Khánh Hòa,t,56,,
Ninh Thuận,t,58,,
Bình Thuận,t,60,,
Kon Tum,t,62,,
Gia Lai,t,64,,
Đắk Lắk,t,66,,
Đắk Nông,t,67,,
Lâm Đồng,t,68,,
Bình Phước,t,70,,
Tây Ninh,t,72,,
Bình Dương,t,74,,
Đồng Nai,t,75,,
Bà Rịa - Vũng Tàu,t,77,,
Hồ Chí Minh,tp,79,,
Long An,t,80,,
Tiền Giang,t,82,,
Bến Tre,t,83,,
Trà Vinh,t,84,,
Vĩnh Long,t,86,,
Đồng Tháp,t,87,,
An Giang,t,89,,
Kiên Giang,t,91,,
Cần Thơ,tp,92,,
Hậu Giang,t,93,,
Sóc Trăng,t,94,,
Bạc Liêu,t,95,,
Cà Mau,t,96,,
Hà Nội,tp,01,,
Hà Giang,t,02,,
Cao Bằng,t,04,,
Bắc Kạn,t,06,,
Tuyên Quang,t,08,,
